ID,Term,Original definition,Claude Sonnet 4.6,GPT-4,Llama 3.2 3B,Gemma 9B
409,ataxia cerebelosa,"Descoordinación de los movimientos voluntarios que se produce como manifestación de enfermedades cerebelosas. Entre los elementos característicos se incluyen una tendencia a que los movimentos de las extremidades sobrepasen o no alcancen el objetivo (dismetría), temblor que se da mientras se intenta realizar movimientos (temblor intencional), trastornos de la fuerza y del ritmo de diadococinesia (movimientos rápidos alternantes) y ataxia de la marcha.","Trastorno que afecta a la capacidad del cerebelo —la parte del cerebro que controla los movimientos— para coordinar el cuerpo de forma adecuada. Quien lo padece tiene dificultades para controlar sus movimientos voluntarios: el brazo o la pierna pueden no llegar al punto deseado o pasarse de él, las manos pueden temblar al intentar coger algo y caminar se vuelve inestable. Esto ocurre porque el cerebelo no envía correctamente las señales necesarias para que los músculos trabajen de manera armoniosa.","Es un problema del sistema que coordina los movimientos del cuerpo. Hace que los gestos voluntarios, como caminar o coger un objeto, sean torpes o poco precisos. La persona puede pasarse al intentar alcanzar algo, moverse con temblores al actuar o tener dificultad para hacer movimientos rápidos y alternos. También puede notar inestabilidad al andar. Suele aparecer por enfermedades que afectan a la parte del cerebro encargada de coordinar el movimiento.","La descoordinación de los movimientos voluntarios se produce debido a enfermedades que afectan el cerebelo. Los síntomas incluyen movimiento excesivo o deficiente, temblor durante los movimientos, debilidad y ritmo alterado. También se experimenta una marcha desCoordinada y movimientos rápidos alternantes.","La ataxia cerebelosa es un problema del movimiento relacionado con enfermedades del cerebro. Se caracteriza por movimientos des coordilados, como movimientos excesivos o deficientes, temblor y dificultades para mantener el ritmo y la fuerza de los movimientos."
410,neuroticismo,"Rasgo de personalidad relacionado con la tendencia a responder a la amenaza, la frustración o la pérdida de emociones negativas (por ejemplo, ira, ansiedad, frustración, vergüenza y tristeza).","Tendencia de algunas personas a experimentar con frecuencia emociones negativas, como nerviosismo, preocupación, tristeza o irritabilidad, ante situaciones cotidianas o de estrés. Quienes presentan esta característica suelen reaccionar de forma más intensa ante los problemas y les cuesta más recuperarse emocionalmente. No se trata de una enfermedad, sino de un rasgo del carácter que varía de una persona a otra y que puede influir en cómo se afronta el día a día.","Forma de ser en la que una persona tiende a sentir con facilidad emociones negativas ante situaciones de estrés, problemas o cambios. Puede experimentar más enfado, miedo, preocupación, vergüenza o tristeza que otras personas. Estas reacciones pueden aparecer con más frecuencia o intensidad y durar más tiempo.","El neuroticismo es una tendencia a reaccionar fuertemente a situaciones estresantes. La persona con este rasgo tiende a experimentar emociones intensas como la ira, la ansiedad o la tristeza en respuesta a amenazas, frustración o pérdidas. Esto puede afectar su bienestar emocional y hacer que encuentre difícil manejar sus sentimientos y situaciones difíciles.","El neuroticismo es la tendencia a reaccionar de forma intensa a situaciones que pueden ser amenazantes o fuente de frustración. Se caracteriza por emociones negativas como la ira, la ansiedad o la tristeza ante situaciones que otros pueden manejar con mayor calma."
411,carcinoma medular,"Carcinoma que consiste principalmente en elementos epiteliales, con estroma escasa o inexistente. Los carcinomas medulares de la mama comprenden de 5 al 7 por ciento de todos los carcinomas medulares; los carcinomas medulares de la tiroide comprenden de 3 al 10 por ciento de todas las enfermedades malignas de la tiroide.","Tipo de cáncer que afecta a las células que recubren o forman los tejidos internos del cuerpo, con muy poco tejido de soporte a su alrededor. Puede aparecer en distintos órganos, aunque es más frecuente en la mama y en la glándula tiroides, que es la glándula del cuello que regula el metabolismo. En ambos casos representa una proporción pequeña del total de cánceres que se dan en esos órganos.","Es un tipo de cáncer formado por células que crecen de manera desordenada y compacta, con muy poco tejido de apoyo alrededor. Estas células se parecen a las que recubren órganos y pueden aparecer en distintas partes del cuerpo, como la mama o la glándula tiroidea. Su comportamiento y gravedad pueden variar según la zona donde se origine y cada caso concreto.","El carcinoma es un tipo de cáncer que crece rápidamente y puede ser muy dañino. En el caso del carcinoma medular, se trata de un tipo de cáncer que se desarrolla en los tejidos exteriores del cuerpo, como la piel o las glándulas. Estos carcinomas suelen crecer sin mucha ayuda de tejido circundante y pueden aparecer sin previo aviso. Aunque son relativamente raros, algunos tipos de carcinoma medulares, como el que afecta a la mama o la tiroides, son comunes en comparación con otros tipos de cáncer.","Un carcinoma medular es un tipo de cáncer que se forma cuando las células epiteliales de un órgano se convierten en cancerosas. En estos tipos de cáncer, hay muy poco tejido conjuntivo o tejido de soporte alrededor de las células cancerosas."
412,hidrocele,"Acumulación circunscrita de líquido, especialmente en la túnica vaginal del testículo o a lo largo del cordón espermático.","Acumulación de líquido dentro de una bolsa que rodea uno o ambos testículos. Esta acumulación provoca una hinchazón indolora en el escroto, que es la bolsa de piel que contiene los testículos. Es una afección frecuente en recién nacidos, aunque también puede aparecer en personas adultas. En la mayoría de los casos no es grave y desaparece sola, pero a veces requiere tratamiento médico. No suele causar dolor, aunque puede generar sensación de pesadez o molestia.","Acumulación de líquido en la bolsa que rodea uno de los testículos o en su zona cercana. Produce una hinchazón suave, generalmente sin dolor. Suele aparecer poco a poco y, en muchos casos, no es grave, aunque conviene que lo valore personal sanitario para confirmar la causa y decidir si necesita tratamiento.","Un problema común en los hombres se llama ""acumulación de líquido"". Ocurre cuando el cuerpo retiene una cantidad excesiva de líquido en una parte específica. En este caso, afecta a la túnica que cubre el testículo o al cordón espermático. El líquido acumulado puede ser doloroso y causar molestias en la zona afectada. Esta condición no es contagiosa ni maligna, pero sí requiere atención médica para evitar complicaciones. Es importante buscar ayuda profesional si notas algún cambio en el tamaño de una testícula o si experimentas dolor agudo.","Un hidrocele es un líquido que se acumula alrededor de los órganos reproductivos masculino, como el testículo o el cordón espermático. Este exceso de líquido puede causar dolor y reducir la capacidad de la zona genital para funcionar correctamente."
413,hemaglutinación,"La agregación de los eritrocitos por aglutininas, incluyendo anticuerpos, lectinas y proteínas virales (hemaglutinación por virus).","Proceso por el que los glóbulos rojos de la sangre se agrupan y forman racimos, como si se pegaran entre sí. Esto ocurre cuando ciertas sustancias, como proteínas o defensas del organismo, actúan sobre ellos y los hacen unirse. Puede producirse de forma natural en el cuerpo, en el laboratorio para realizar análisis de sangre, o cuando un virus entra en contacto con los glóbulos rojos.","Es cuando los glóbulos rojos de la sangre se pegan entre sí y forman pequeños grupos. Esto ocurre porque ciertas sustancias, como las defensas del organismo o algunos virus, hacen que esas células se unan. Este fenómeno puede observarse en análisis de laboratorio y ayuda a estudiar cómo reacciona la sangre ante infecciones u otros procesos.","Hemaglutinación es el proceso en el que las células rojas del cuerpo humano se unen entre sí o con sustancias externas, como ciertas proteínas. Esto sucede cuando los anticuerpos, proteínas producidas por nuestro organismo para luchar contra enfermedades, se unen a estas proteínas y les permiten reconocer y atacar las células rojas. Esto puede ser beneficioso para prevenir la infección, pero también puede dañar ciertos tejidos del cuerpo. La hemaglutinación juega un papel importante en nuestra defensa contra ciertas enfermedades.","La hemaglutinación es un proceso en que los glóbulos rojos se unen o aglutinan debido a la presencia de proteínas o anticuerpos que se unen a ellos. Este proceso puede ocurrir por la acción de anticuerpos, lectinas o proteínas virales."
414,carcinoma de células escamosas de esófago,"Carcinoma que se origina generalmente a partir de células en la superficie del tercio medio e inferior del esófago. Las células tumorales exhiben una morfología escamosa típica y forman grandes lesiones polipoides. Las mutaciones en los genes RNF6, LZTS1, TGFBR2, DEC1 y WWOX1 están asociadas con este cáncer.","Enfermedad en la que algunas células del tubo que conecta la boca con el estómago crecen de manera descontrolada y forman una masa. Suele aparecer en la parte central o inferior de ese tubo. Con el tiempo, esa masa puede crecer y dificultar el paso de los alimentos. Es un tipo de cáncer que requiere diagnóstico y tratamiento médico especializado.",Es un tipo de cáncer que aparece en la capa interna del tubo que lleva la comida desde la boca hasta el estómago. Se forma cuando algunas células de esa zona crecen de manera descontrolada y crean un bulto o lesión. Suele desarrollarse en la parte media o baja de este tubo. Este problema puede dificultar el paso de los alimentos y causar molestias al tragar. Es importante detectarlo pronto para mejorar el tratamiento.,"### Carcinoma del esófago: un problema grave.

El carcinoma del esófago es un tipo de cáncer que se desarrolla en la parte inferior o media del esófago. Se origina desde células normales en la superficie del esófago, que cambian y forman una masa anormal. Esto sucede principalmente debido a cambios genéticos que afectan la forma en que las células crecen y se dividen. Los cánceres de este tipo pueden crecer rápidamente y pueden ser peligrosos si no reciben tratamiento médico adecuado.",Un cáncer del esófago con células escamosas es un tipo de cáncer que se forma cuando las células en la parte media y baja del esófago cambian y se convierten en cancerosas. Estas células tienen una forma escamosa característica y forman grandes lesiones.
415,antagonista opioide,Agentes que inhiben el efecto de los narcóticos sobre el sistema nervioso central.,"Sustancia que bloquea o neutraliza los efectos de los medicamentos derivados del opio, como la morfina o la heroína, en el cerebro y el sistema nervioso. Cuando se administra, impide que estas sustancias actúen y puede revertir sus efectos en pocos minutos. Se utiliza principalmente en situaciones de emergencia, cuando una persona ha tomado una cantidad excesiva de este tipo de medicamentos o drogas y su vida corre peligro.","Medicamento que bloquea o reduce los efectos de sustancias como la morfina o la heroína en el cerebro y los nervios. Se usa, por ejemplo, para anular una sobredosis o revertir la somnolencia y la dificultad para respirar que estas sustancias pueden causar.
","Un agente químico especial, utilizado en medicina para tratar ciertas enfermedades, actúa como un ""contrarresto"" al influir en la forma en que trabajan ciertos fármacos. Estos agentes se oponen a los efectos de los medicamentos conocidos como narcóticos, que pueden causar una sensación de bienestar o analgesia (alivio de las dolores). Por lo tanto, su función es neutralizar el dolor, reduciendo su intensidad.","Los antagonistas opioides son medicamentos que bloquean el efecto de otros medicamentos llamados narcóticos. Los narcóticos suelen producir efectos como el estado de euforia o el sueño profundo, mientras que los antagonistas opioides preventen que los narcóticos funcionen."
416,contrapulsación,"Una técnica para auxiliar la circulación mediante la disminución de la postcarga del ventrículo izquierdo y el incremento de la presión diastólica. Puede lograrse con un balón intra-aórtico, o implantando un dispositivo de bombeo especial en el tórax o, externamente, aplicando una presión negativa en las extremidades inferiores durante la sístole cardíaca.","Técnica médica que ayuda al corazón a bombear sangre de forma más eficaz cuando tiene dificultades para hacerlo por sí solo. Funciona reduciendo el esfuerzo que el corazón necesita hacer en cada latido y, al mismo tiempo, mejorando el flujo de sangre hacia sus propias arterias. Para conseguirlo, los profesionales sanitarios pueden introducir un pequeño globo en la arteria principal del cuerpo, colocar un dispositivo de bombeo dentro del pecho o aplicar presión desde fuera en las piernas.","Es un método que ayuda a la sangre a circular mejor y reduce el esfuerzo del corazón. Funciona con un dispositivo que se hincha y se deshincha siguiendo el ritmo del latido. Así, durante una parte del latido, empuja la sangre para mejorar su paso por las arterias y, en otra, facilita que el corazón bombee con menos esfuerzo. Puede usarse con aparatos dentro del cuerpo o desde fuera.
","### Término y definición que simplificar ###
""Una técnica para mejorar la circulación sanguínea. Ayuda a reducir la carga del corazón y aumentar la presión cuando el corazón se descansa, lo que permite una mejor circulación de sangre en todo el cuerpo.""","La contrapulsación es una técnica que ayuda a mejorar la circulación sanguínea. Funciona ajustando la presión en las diferentes partes del cuerpo durante el ciclo cardíaco. Esto reduce la presión en la parte superior del corazón (ventrículo izquierdo) y aumenta la presión en la parte inferior (arterias), lo que facilita el bombo de sangre."
417,síndrome de sweet,"Afección que se caracteriza por placas grandes eritematosas, suaves, que se extienden rápidamente sobre la porción superior del cuerpo y que se acompañan con fiebre e infiltración dérmica de leucocitos neutrófilos. Ocurre fundamentalmente en mujeres de mediana edad, y a menudo es precedida por una infección del tracto respiratorio superior, y clínicamente recuerda al eritema multiforme. El síndrome de Sweet puede ser precursor de la aparición de leucemia.","Enfermedad de la piel en la que aparecen manchas rojizas, elevadas y de crecimiento rápido, principalmente en la parte superior del cuerpo. Suele ir acompañada de fiebre y afecta con más frecuencia a mujeres de mediana edad. En muchos casos, aparece después de una infección respiratoria, como un resfriado o una gripe. En algunas ocasiones, puede estar relacionada con enfermedades graves de la sangre, por lo que es importante consultar a un médico si se presentan estos síntomas.","Es una enfermedad poco frecuente de la piel en la que aparecen manchas rojas grandes y sensibles, sobre todo en la parte superior del cuerpo. Estas lesiones pueden crecer rápido y suelen ir acompañadas de fiebre. A veces aparece tras una infección respiratoria reciente. En algunos casos, puede estar relacionada con enfermedades de la sangre, por lo que requiere valoración médica y seguimiento.
","El síndrome se caracteriza por placas grandes y suaves que crecen rápidamente en la parte superior del cuerpo, acompañadas de fiebre y una inflamación subyacente. Suele afectar a mujeres de mediana edad y puede comenzar como una infección respiratoria común. Estas placas pueden tener un aspecto similar al eritema multiforme y, en algunos casos, pueden ser un indicio temprano de una condición más grave llamada leucemia.","El síndrome de Sweet es una afección que se presenta en mujeres de mediana edad y se caracteriza por placas eritematosas que se extienden rápidamente sobre la parte superior del cuerpo, acompañadas de fiebre e infiltración de leucocitos. A menudo se asocia a una infección del tracto respiratorio superior."
418,triclosán,Un derivado del éter difenílico utilizado en cosméticos y jabones de baño como antiséptico. Tiene algunas acciones bacteriostáticas y fungistáticas.,"Sustancia química que se añade a productos de higiene personal, como jabones, geles de ducha o dentífricos, para evitar el crecimiento de bacterias y hongos en la piel. Actúa como conservante y ayuda a mantener los productos limpios de microorganismos. Su uso está regulado en muchos países debido a posibles efectos sobre la salud y el medio ambiente si se utiliza en cantidades elevadas o durante periodos prolongados.","Sustancia química que se añade a algunos jabones, geles, pastas de dientes y cosméticos para ayudar a controlar microbios. No siempre los elimina por completo, pero puede frenar el crecimiento de bacterias y hongos. Su uso busca mejorar la higiene, aunque no es imprescindible en la mayoría de los productos de cuidado diario.
","El triclosán es un químico utilizado en productos personales, como jabones y champús, para tener un efecto antiséptico. Ayuda a evitar que las bacterias y hongos crezcan en la piel. Su forma de acción puede ser tanto antibacteriana como antifúngica.","El triclosán es un compuesto químico utilizado en algunos cosméticos y jabones de baño para combatir bacterias y hongos. Funciona como un antiséptico, es decir, mata o controla el crecimiento de estos organismos."
419,emenagogo,Compuestos químicos que inducen la menstruación mediante una acción directa en los órganos reproductores o indirectamente al mejorar otro trastorno cuyo resultado secundario es la amenorrea.,"Sustancia o medicamento que ayuda a provocar o regularizar el flujo menstrual en personas que lo tienen ausente o irregular. Puede actuar directamente sobre los órganos del aparato reproductor o de manera indirecta, tratando otras alteraciones de salud que, como efecto secundario, habían interrumpido o reducido la menstruación.","Sustancias o productos que ayudan a que baje la regla cuando se ha retrasado o no aparece. Actúan estimulando los órganos reproductores o corrigiendo algún problema del cuerpo que impide la menstruación. Se usan con cuidado y siempre bajo indicación de profesionales de la salud.
","La amenorrea es un trastorno en el cual no se tiene ni se perjudica su ciclo menstrual. El emenagogo es una sustancia química que ayuda a estimular el ciclo menstrual, haciendo que la persona tenga periodos regulares y normalmente con sangre.",Losemenagogos son medicamentos que ayudan a regular el ciclo menstrual. Funcionan ajustando los niveles de las hormonas responsables de los cambios del ciclo menstrual.
420,atrofia óptica,"Atrofia del disco óptico que puede ser congénita o adquirida. Este estado indica una deficiencia en el número de fibras nerviosas que surgen en la retina y que convergen para formar el disco óptico, nervio óptico, quiasma óptico y tractos ópticos. Causas relativamente comunes de este estado son el glaucoma, isquemia, inflamación, elevación crónica de la presión intracraneal, toxinas, compresión del nervio óptico y alteraciones heredadas.","Daño permanente en el nervio que conecta el ojo con el cerebro, causado por la pérdida progresiva de las fibras nerviosas que lo forman. Como consecuencia, el cerebro recibe menos información visual de la que debería, lo que puede provocar pérdida parcial o total de la visión. Entre las causas más frecuentes se encuentran enfermedades que aumentan la presión dentro del ojo, problemas de riego sanguíneo, inflamaciones, presión sobre el nervio óptico o ciertas enfermedades hereditarias.","Daño y desgaste del nervio que lleva la información visual desde el ojo al cerebro. Esto hace que la señal sea más débil y la visión empeore poco a poco, con zonas borrosas o pérdida de visión. Puede estar presente desde el nacimiento o aparecer más tarde por problemas como presión alta en el ojo, mala circulación, inflamación, golpes, sustancias tóxicas, compresión del nervio o causas hereditarias.
","La atrofia óptica es una condición que afecta al disco óptico en el ojo. Se refiere a un declive o debilitamiento de las fibras nerviosas que surgen en la retina, lo que puede causar problemas para la visión. Esto puede ocurrir debido a factores como la presión alta en el cerebro, lesiones en el nervio óptico, infecciones, toxinas o incluso heredados.","La atrofia óptica es un problema del disco óptico en el ojo, que puede ocurrir por diferentes razones. Este problema se caracteriza por una disminución en el número de fibras nerviosas que van y vienen del disco óptico al nervio óptico. Las causas más comunes de este estado son el glaucoma, el isquemia y la inflamación."
421,lipogénesis,"Síntesis para la generación de grasa en el organismo. En este término se incluyen los procesos de síntesis de ácidos grasos y los subsiguientes triglicéridos en el hígado y el tejido adiposo. La lipogénesis está regulada por numerosos factores, entre los que se incluyen los nutricionales, los hormonales y los elementos genéticos.","Proceso natural por el que el cuerpo transforma los alimentos en grasa y la almacena en distintas partes del organismo, como el hígado o el tejido adiposo. Este proceso está influido por la alimentación, las hormonas y los genes de cada persona. Cuando se consumen más calorías de las que el cuerpo necesita, este mecanismo se activa para guardar esa energía sobrante en forma de grasa.","Proceso por el que el cuerpo crea grasa a partir de los nutrientes de los alimentos, sobre todo cuando hay un exceso de energía. Ocurre principalmente en el hígado y en el tejido donde se almacena la grasa. Este proceso ayuda a guardar energía para usarla más tarde. Puede cambiar según la alimentación, las hormonas y las características propias de cada persona.
","La producción de grasa en el cuerpo es un proceso complejo que implica la síntesis de ácidos grasos y su convertido en triglicéridos. Este proceso ocurre principalmente en el hígado y en el tejido adiposo, y está regulado por varios factores como los nutrientes, las hormonas y los genes. La lipogénesis es un mecanismo importante para almacenar energía y mantener la homeostasis del cuerpo.","La lipogénesis es el proceso de síntesis que el cuerpo realiza para producir grasa. En este proceso se producen ácidos grasos y luego se los combina con otros ingredientes para formar triglicéridos, que se almacenan en el hígado y el tejido adiposo."
422,trastorno disfórico premenstrual,"Una condición en la que una mujer sufre de depresión severa, irritabilidad y tensión antes de la menstruación. El trastorno disfórico premenstrual (TDPM) puede implicar una amplia gama de síntomas físicos o emocionales, que son más severos y debilitantes que las observadas con el síndrome premenstrual (SPM), y que incluyen al menos un síntoma relacionado con el estado de ánimo. Los síntomas generalmente desaparecen cuando, o poco después, comienza la menstruación.","Afección grave que aparece en los días previos a la menstruación y que provoca síntomas emocionales y físicos intensos: tristeza profunda, irritabilidad, ansiedad o cambios bruscos de humor, entre otros. Estos síntomas son más fuertes y limitantes que los del síndrome premenstrual habitual, e interfieren de forma notable en la vida diaria y las relaciones personales. Suelen desaparecer cuando comienza la menstruación o poco después.","Es una alteración que aparece en los días antes de la regla. Provoca cambios emocionales intensos, como tristeza profunda, irritabilidad o ansiedad, y también molestias físicas. Estos síntomas son más fuertes de lo habitual y pueden dificultar la vida diaria, el trabajo o las relaciones. Suelen mejorar o desaparecer cuando empieza la menstruación o poco después.
","Una mujer puede experimentar una depresión severa, irritabilidad y tensión antes del período menstrual. Estos síntomas pueden ser muy graves y afectar su bienestar físico y emocional. Algunas mujeres presentan una amplia gama de síntomas que incluyen cambios en su estado de ánimo, dolor o molestias físicas. Estos síntomas suelen desaparecer poco después de comenzar a menstruar.","El trastorno disfórico premenstrual es un problema que pueden tener las mujeres justo antes de la menstruación. Suelen experimentar emociones negativas como la depresión y la irritabilidad, además de problemas de concentración y dolor de cabeza."
423,fibromialgia,"Síndrome reumático común, no articular, caracterizado por mialgia y puntos múltiples de dolores musculares a la palpación (puntos desencadenantes). El dolor muscular típicamente se agrava por la inactividad o la exposición al frio. Esta afección se asocia a menudo con síntomas generales, como trastornos del sueño, fatiga, rigidez, cefaleas, y ocasionalmente depresión. Hay una significativa coincidencia entre la fibromialgia y el síndrome de fatiga crónica (síndrome de fatiga crónica). La fibromialgia puede surgir como un proceso patológico primario o secundario. Es más frecuente en mujeres entre los 20 y 50 años.","Enfermedad crónica que causa dolor generalizado en los músculos y otras partes blandas del cuerpo. Este dolor puede empeorar con el frío o cuando la persona lleva mucho tiempo sin moverse. Quienes la padecen suelen tener también cansancio constante, dificultad para dormir bien, sensación de rigidez corporal y, en ocasiones, dolor de cabeza o tristeza persistente. Afecta con más frecuencia a personas adultas y, aunque no tiene cura, existen tratamientos para mejorar la calidad de vida.","Es una afección de larga duración que causa dolor en los músculos en varias zonas del cuerpo. El dolor puede empeorar con el frío o al moverse poco. Suele ir acompañado de cansancio, sueño de mala calidad, rigidez y dolores de cabeza, y a veces estado de ánimo bajo. No afecta a las articulaciones, pero puede dificultar las actividades diarias.
","Síndrome reumático común, no articular, que causa dolor muscular a la palpación, que se agrava por la inactividad o el frío. Los síntomas incluyen fatiga, rigidez, cepales y trastornos del sueño, a veces con depresión. Afecta más comúnmente a mujeres entre 20 y 50 años.","La fibromialgia es un síndrome que causa dolores musculares, principalmente en áreas específicas del cuerpo. Estos dolores se asocian a dificultades para dormir, fatiga y otros síntomas generales. Es más común en mujeres y se presenta generalmente entre los 20 y 50 años."
424,amnesia global transitoria,"Síndrome caracterizado por pérdida transitoria de la capacidad de formar nueva memoria. Ocurre fundamentalmente en la edad media o en ancianos, y los episodios pueden durar de minutos a horas. Durante el período de amnesia, las capacidades de memoria inmediata y reciente están afectadas, pero se preservan el nivel de conciencia y la capacidad del desempeño de otras tareas intelectuales. La afección se relaciona con disfunción bilateral de las porciones mediales de cada lóbulo temporal. Normalmente se produce recuperación completa y las recurrencias son inusuales.","Situación temporal en la que una persona pierde de forma repentina la capacidad de recordar lo que acaba de ocurrir o de guardar nuevos recuerdos. La persona está despierta, habla con normalidad y puede realizar actividades cotidianas, pero no retiene la información reciente. Suele afectar a personas adultas de mediana edad o mayores. El episodio puede durar entre unos minutos y varias horas. Después, la memoria se recupera por completo. Es poco frecuente que vuelva a ocurrir.","Es un episodio breve en el que la persona no puede guardar recuerdos nuevos durante un tiempo. Puede olvidar lo que acaba de pasar y hacer las mismas preguntas varias veces. Suele durar de minutos a algunas horas. Aun así, mantiene la conciencia, sabe quién es y puede realizar tareas habituales. Después se recupera por completo y no suele repetirse. Es más frecuente en personas de edad media o mayor.
","La pérdida transitoria de la capacidad para formar nuevas memorias puede ocurrir a cualquier edad, especialmente en personas de mediana edad o mayores. Durante este tiempo, es posible que no puedas recordar lo que has hecho o aprendido recientemente, pero tu conciencia y habilidades para realizar otras tareas intelectuales permanecen intactas. Este síndrome se asocia con disfunción en ciertas partes del cerebro y generalmente se recupera completamente, aunque las recaídas suelen ser poco comunes.","La amnesia global transitoria es un fenómeno temporal en el que la mente pierde la capacidad de formar nuevos recuerdos. Aparece principalmente en personas mayores y se caracteriza por episodios transitorios de pérdida de memoria reciente, que suelen durar minutos o horas. Sin embargo, el nivel de conciencia y las capacidades intelectuales normales se mantienen inalterados."
425,hepatitis alcohólica,"Inflamación del hígado debido a alcoholismo. Se caracteriza por necrosis de los hepatocitos, infiltración de neutrófilos y depósito de cuerpos de Mallory. Dependiendo de su gravedad, la lesión inflamatoria puede ser reversible o progresar a cirrosis hepática.","Enfermedad que aparece cuando el consumo excesivo de alcohol daña el hígado y provoca su inflamación. Según la gravedad, el hígado puede recuperarse si la persona deja de beber, o el daño puede volverse permanente y derivar en una enfermedad crónica grave llamada cirrosis. Los síntomas más frecuentes son dolor abdominal, coloración amarillenta de la piel y los ojos, y cansancio intenso.","Es una enfermedad del hígado causada por consumir mucho alcohol durante un tiempo. El hígado se inflama y sus células se dañan. Según la gravedad, el daño puede mejorar si se deja de beber, o empeorar con el tiempo y provocar cicatrices permanentes que dificultan su función. Puede causar cansancio, dolor en la zona del hígado, color amarillento en la piel o en los ojos y pérdida de apetito. Dejar el alcohol es clave para su recuperación.
",La inflamación del hígado causa daños graves debido al consumo excesivo de alcohol. Esto provoca la muerte de células del hígado y la formación de proteínas anormales en el tejido. La gravedad de los efectos depende si se puede revertir con el cese de consumo o pasar a un daño permanente que afecta permanentemente la función del hígado.,"La hepatitis alcohólica es una enfermedad del hígado causada por el consumo excesivo de alcohol. El exceso de alcohol daña los hepatocitos, células que componen el hígado, provocando necrosis y inflamación."
426,triprolidina,"Antagonista de la histamina H1, utilizado en la rinitis alérgica; asma y urticaria. Es un componente de los medicamentos para la tos y la temperatura baja. Puede causar somnolencia.","Sustancia que se usa para aliviar los síntomas de las alergias, como el picor, el estornudo o la nariz tapada. También ayuda con algunas formas de asma y con ronchas en la piel. Se encuentra en ciertos medicamentos para la tos y el resfriado. Puede provocar somnolencia, por lo que conviene tener precaución al conducir o manejar maquinaria después de tomarlo.","Medicamento que ayuda a aliviar síntomas de alergia, como estornudos, moqueo de la nariz, picor o erupciones en la piel. También puede formar parte de algunos productos para la tos y el resfriado. Actúa reduciendo la reacción del cuerpo a sustancias que causan alergia. Uno de sus efectos más comunes es el sueño o la sensación de cansancio, por lo que se recomienda precaución al conducir o realizar tareas que requieran atención.
","La triprolidina es una sustancia química que actúa como antagonista de la histamina H1, lo que significa que ayuda a reducir el efecto que produce esta molécula en el cuerpo. Es utilizada principalmente para tratar condiciones como la rinitis alérgica, el asma y la urticaria. Además, se incluye en algunos medicamentos para la tos y la temperatura baja. Sin embargo, también puede causar un sentimiento de somnolencia debido a su efecto sobre el sistema nervioso.","La triprolidina es un medicamento que ayuda a aliviar los síntomas de la rinitis alérgica, la asma y la urticaria al bloquear los efectos de una química llamada histamina en el cuerpo. También se utiliza para tratar la tos y la temperatura baja. Sin embargo, puede causar somnolencia."
427,biguanida,Derivados de biguanida (fórmula estructural HN(C(NH)NH2)2) que se utilizan principalmente como hipoglucemiantes orales para tratar diabetes mellitus tipo 2 y prediabetes.,"Grupo de medicamentos que se toman por la boca para controlar el nivel de azúcar en la sangre. Se usan principalmente en personas que tienen diabetes tipo 2 o niveles de azúcar elevados que aún no han llegado a ser diabetes. Actúan ayudando al cuerpo a usar mejor la insulina que ya produce de forma natural, sin estimular al páncreas para que fabrique más.","Tipo de medicamento que se toma por vía oral y ayuda a bajar el nivel de azúcar en la sangre. Se usa sobre todo en personas con diabetes tipo 2 o con riesgo de desarrollarla. Actúa mejorando el uso del azúcar por el cuerpo y reduciendo la cantidad que produce el hígado.
","Una sustancia química utilizada para controlar el nivel de azúcar en sangre en personas con diabetes mellitus tipo 2 o prediabetes. Ayuda a reducir la cantidad de glucosa en el torrente sanguíneo, lo que puede ayudar a prevenir complicaciones relacionadas con la enfermedad.",Las biguanidas son medicamentos que ayudan a controlar los niveles de azúcar en sangre. Funcionan regulando la producción de azúcar en el cuerpo y mejorando la sensibilidad a la insulina.
